sala,disciplina,professor,categoria,periodo (antigo;novo),horario
re-04,compiladores-t1,franklin,obrigatoria,5;7,i10
re-04,eda-t1,adalberto,obrigatoria,3;3,q10
re-04,eda-t1,adalberto,obrigatoria,3;3,s08
re-04,jogos-t1,marcelo,opt-especifica,*;*,q18
re-04,jogos-t1,marcelo,opt-especifica,*;*,t18
re-05,intro-prog-t3,roberto,outros-cursos,*;*,i16
re-05,intro-prog-t3,roberto,outros-cursos,*;*,t14
re-08,seminarios-t1,marcelo,nenhum,*,x18
re-08,aa2-t1,rohit,opt-especifica,*;*,i18
re-08,aa2-t1,rohit,opt-especifica,*;*,t18
re-08,bd1-t1,claudio,obrigatoria,5;4,i16
re-08,bd1-t1,claudio,obrigatoria,5;4,t14
re-08,compiladores-t2,franklin,obrigatoria,5;7,i08
re-08,compiladores-t2,franklin,obrigatoria,5;7,t10
re-08,ia-t1,herman,obrigatoria,6;6,t16
re-08,ia-t1,herman,obrigatoria,6;6,x14
re-08,ic-t1,carlos,obrigatoria,1;1,i10
re-08,ic-t1,carlos,obrigatoria,1;1,t08
re-08,infosoc-t1,robert,opt-geral,*;*,q14
re-08,infosoc-t1,robert,opt-geral,*;*,s16
re-08,pratica-ensino2-t1,andrey,opt-especifica,*;*,s20
re-08/lcc3,principios-dev-web-t1,matheus,opt-especifica,*;*,q16
re-08,principios-dev-web-t1,matheus,opt-especifica,*;*,x16
